level,word,role_default,bisindo_gesture,context_type,sentence,spok_breakdown,bisindo_sequence
1,Saya,Subjek (S),Ketuk dada tengah Anda perlahan menggunakan ibu jari atau telapak tangan kanan terbuka.,Formal/Sekolah,Saya belajar matematika.,Saya (S) - belajar (P) - matematika (O),SAYA - BELAJAR - MATEMATIKA
1,Saya,Subjek (S),Ketuk dada tengah Anda perlahan menggunakan ibu jari atau telapak tangan kanan terbuka.,Santai/Rumah,Saya makan nasi goreng.,Saya (S) - makan (P) - nasi goreng (O),SAYA - MAKAN - NASI - GORENG
1,Saya,Subjek (S),Ketuk dada tengah Anda perlahan menggunakan ibu jari atau telapak tangan kanan terbuka.,Sosial/Permohonan,Tolong bantu saya.,Tolong (L) - bantu (P) - saya (O),TOLONG - BANTU - SAYA
1,Makan,Predikat (P),Bentuk ujung-ujung jari tangan kanan menyatu lalu arahkan mendekati mulut berulang kali.,Formal/Sekolah,Siswa makan roti di kantin.,Siswa (S) - makan (P) - roti (O) - di kantin (K),SISWA - MAKAN - ROTI - DI - KANTIN
1,Makan,Predikat (P),Bentuk ujung-ujung jari tangan kanan menyatu lalu arahkan mendekati mulut berulang kali.,Santai/Rumah,Kucing makan ikan.,Kucing (S) - makan (P) - ikan (O),KUCING - MAKAN - IKAN
1,Makan,Predikat (P),Bentuk ujung-ujung jari tangan kanan menyatu lalu arahkan mendekati mulut berulang kali.,Sosial/Permohonan,Saya ingin makan buah.,Saya (S) - ingin makan (P) - buah (O),SAYA - MAKAN - BUAH
1,Buku,Objek (O),"Satukan kedua telapak tangan merapat, lalu buka perlahan seperti membuka lembaran buku.",Formal/Sekolah,Guru membagikan buku baru.,Guru (S) - membagikan (P) - buku (O) - baru (L),GURU - BAGI - BUKU - BARU
1,Buku,Objek (O),"Satukan kedua telapak tangan merapat, lalu buka perlahan seperti membuka lembaran buku.",Santai/Rumah,Buku itu tebal sekali.,Buku (S) - tebal (P) - sekali (L),BUKU - TEBAL - SEKALI
1,Buku,Objek (O),"Satukan kedua telapak tangan merapat, lalu buka perlahan seperti membuka lembaran buku.",Sosial/Permohonan,Tolong ambilkan buku gambar.,Tolong (L) - ambilkan (P) - buku gambar (O),TOLONG - AMBIL - BUKU - GAMBAR
1,Sekolah,Keterangan (K),"Gambarkan atap rumah dengan tangan, kemudian ketukkan ujung jari kanan di telapak kiri melambangkan belajar.",Formal/Sekolah,Kami pergi ke sekolah pagi hari.,Kami (S) - pergi (P) - ke sekolah (K) - pagi hari (K),KAMI - PERGI - KE - SEKOLAH - PAGI
1,Sekolah,Keterangan (K),"Gambarkan atap rumah dengan tangan, kemudian ketukkan ujung jari kanan di telapak kiri melambangkan belajar.",Santai/Rumah,Gedung sekolah itu dicat biru.,Gedung sekolah (S) - dicat (P) - biru (O),GEDUNG - SEKOLAH - CAT - BIRU
1,Sekolah,Keterangan (K),"Gambarkan atap rumah dengan tangan, kemudian ketukkan ujung jari kanan di telapak kiri melambangkan belajar.",Sosial/Permohonan,Mari rapikan kelas di sekolah.,Mari (L) - rapikan (P) - kelas (O) - di sekolah (K),MARI - RAPI - KELAS - DI - SEKOLAH
1,Guru,Subjek (S),Sentuhkan ujung jari telunjuk dan jempol kanan di dekat kening kemudian gerakkan ke bawah.,Formal/Sekolah,Guru menjelaskan pelajaran sejarah.,Guru (S) - menjelaskan (P) - pelajaran sejarah (O),GURU - JELAS - PELAJARAN - SEJARAH
1,Guru,Subjek (S),Sentuhkan ujung jari telunjuk dan jempol kanan di dekat kening kemudian gerakkan ke bawah.,Santai/Rumah,Ibu saya seorang guru SLB.,Ibu saya (S) - adalah (P) - guru SLB (O),IBU - SAYA - GURU - S-L-B
1,Guru,Subjek (S),Sentuhkan ujung jari telunjuk dan jempol kanan di dekat kening kemudian gerakkan ke bawah.,Sosial/Permohonan,Siswa memberi hormat kepada guru.,Siswa (S) - memberi hormat (P) - kepada guru (O),SISWA - HORMAT - GURU
